Vm (mV),Current (pA),Concentration (uM)
-104,0.133867012467824,1000
-84,0.186161507381029,1000
-64,0.311633396698724,1000
-44,0.551057271554098,1000
-24,0.709549445478254,1000
16,0.847687172586222,1000
36,0.905640273937399,1000
56,0.87116051642413,1000
76,0.964158549396601,1000
96,0.948362577237148,1000
-164,0.0958590108943008,1000
-144,0.0972911987802016,1000
-124,0.130900357384044,1000
-104,0.131663387932523,1000
-84,0.218190515920703,1000
-64,0.351762121421672,1000
-44,0.618040167782457,1000
-24,0.763835141792534,1000
16,1.0503049603758,1000
36,1.06545571801393,1000
56,1.04123839405414,1000
76,1.02219500106727,1000
96,0.989186240564085,1000
-164,0.0709188918763518,1000
-144,0.0875584023291829,1000
-124,0.090125210804531,1000
-104,0.107092318147161,1000
-84,0.167036342717244,1000
-64,0.296541490982261,1000
-44,0.438029737422931,1000
-24,0.544334910019029,1000
16,0.694216717751958,1000
36,0.934539635098829,1000
56,0.777740102069159,1000
76,0.872686662764704,1000
96,0.846754178297841,1000
